Date,Open,High,Low,Close,AdjClose,Volume
2026-07-15,345.85,351.24,344.05,346.91,346.91,10750000
2026-07-14,327.00,344.73,325.75,342.89,342.89,14537900
2026-07-13,338.34,338.35,332.50,334.53,334.53,7120300
2026-07-10,337.47,338.59,335.77,336.47,336.47,6299000
2026-07-09,331.46,337.00,330.81,335.47,335.47,15570600
2026-07-08,336.53,336.53,330.13,330.62,330.62,18505200
2026-07-07,340.98,341.40,337.09,339.22,339.22,7115800
2026-07-06,335.00,339.72,334.11,337.72,337.72,8673500
2026-07-02,338.02,340.00,331.77,334.47,332.97,8413900
2026-07-01,328.37,335.64,325.01,334.07,332.57,15210200
2026-06-30,328.89,330.44,326.68,327.33,325.86,8080100
2026-06-29,328.28,332.39,327.20,329.39,327.91,7981800
2026-06-26,336.00,336.40,327.50,329.05,327.57,17640900
2026-06-25,334.96,343.45,334.76,335.12,333.62,10043100
2026-06-24,333.07,334.53,329.77,333.45,331.95,7907400
2026-06-23,329.47,335.37,327.21,334.14,332.64,7582200
2026-06-22,329.70,332.77,326.75,331.48,329.99,10182500
2026-06-18,336.95,338.09,324.16,325.22,323.76,20111000
2026-06-17,332.18,337.77,331.50,333.46,331.96,12246400
2026-06-16,324.30,331.75,324.02,331.14,329.65,11094900
2026-06-15,323.92,325.92,318.84,319.40,317.97,7988900
2026-06-12,315.97,321.30,315.55,320.72,319.28,7426200
2026-06-11,309.56,314.72,308.88,313.49,312.08,9116600
2026-06-10,312.56,314.75,309.03,309.14,307.75,7446200
2026-06-09,313.51,316.42,309.01,312.70,311.30,11594600
2026-06-08,313.25,316.30,310.78,311.11,309.71,6827000
2026-06-05,314.29,315.00,309.60,312.37,310.97,9118800
2026-06-04,305.74,312.91,304.44,310.89,309.50,10345200
2026-06-03,299.92,301.96,296.56,300.85,299.50,7003900
2026-06-02,296.50,302.07,295.27,300.96,299.61,8296200
2026-06-01,297.69,299.55,295.27,296.58,295.25,7930000
2026-05-29,296.40,299.88,295.20,299.31,297.97,13969000
2026-05-28,297.57,301.07,295.75,296.73,295.40,9757700
2026-05-27,305.00,305.90,295.75,299.28,297.94,11779200
2026-05-26,308.49,309.93,305.44,306.74,305.36,7725400
2026-05-22,304.68,307.45,303.84,306.38,305.01,5973900
2026-05-21,301.23,303.98,300.21,303.00,301.64,7874400
2026-05-20,296.70,302.93,293.67,301.98,300.63,9327000
2026-05-19,301.09,301.79,295.26,295.70,294.37,8066900
2026-05-18,298.00,301.26,297.22,300.73,299.38,7546300
2026-05-15,300.21,300.79,296.45,297.81,296.47,8699300
2026-05-14,302.25,303.75,298.81,299.91,298.57,7364300
2026-05-13,302.27,303.00,300.07,300.25,298.90,7709500
2026-05-12,300.02,306.06,295.55,304.88,303.51,9498200
2026-05-11,302.10,303.19,298.88,300.00,298.65,9512000
2026-05-08,308.25,308.99,300.50,302.10,300.75,9464300
2026-05-07,314.65,316.30,306.14,306.27,304.90,8359600
2026-05-06,311.45,316.26,311.35,314.90,313.49,8629500
2026-05-05,307.71,310.97,306.80,309.40,308.01,6316800
2026-05-04,310.62,310.65,306.51,307.65,306.27,7338200
2026-05-01,313.95,316.08,311.83,312.47,311.07,6135400
2026-04-30,307.07,314.10,306.57,313.23,311.83,8865400
2026-04-29,310.57,312.05,307.29,309.25,307.86,8031800
2026-04-28,315.20,315.45,311.17,311.45,310.05,7398600
2026-04-27,306.88,312.58,306.88,311.63,310.23,7925300
2026-04-24,311.15,311.15,307.89,308.28,306.90,5215300
2026-04-23,313.52,314.99,308.89,311.69,310.29,6969700
2026-04-22,314.85,315.15,311.94,313.02,311.62,5545900
2026-04-21,317.49,320.24,312.75,313.00,311.60,7084300
2026-04-20,310.85,317.13,310.37,316.99,315.57,10772000
2026-04-17,312.47,314.90,310.09,310.29,308.90,11082400
