Date,Open,High,Low,Close,AdjClose,Volume
2026-07-15,317.62,328.73,317.32,327.50,327.50,60957600
2026-07-14,313.76,316.19,311.91,314.86,314.86,36336800
2026-07-13,317.02,323.45,315.78,317.31,317.31,43257800
2026-07-10,314.72,316.91,312.17,315.32,315.32,34132300
2026-07-09,310.51,316.53,308.16,316.22,316.22,48124500
2026-07-08,311.91,314.82,307.05,313.39,313.39,41323500
2026-07-07,315.29,315.48,310.15,310.66,310.66,42490000
2026-07-06,307.36,314.20,307.00,312.66,312.66,53590000
2026-07-02,294.12,309.42,293.68,308.63,308.63,75352800
2026-07-01,293.44,296.59,289.20,294.38,294.38,50164200
2026-06-30,281.17,289.94,280.70,289.36,289.36,65100200
2026-06-29,286.73,288.37,279.85,281.74,281.74,66427000
2026-06-26,275.00,285.95,274.21,283.78,283.78,261775500
2026-06-25,287.40,288.80,273.75,275.15,275.15,107013700
2026-06-24,295.36,299.70,292.94,293.08,293.08,53081900
2026-06-23,297.54,301.64,294.18,294.30,294.30,52010900
2026-06-22,297.31,302.42,296.76,297.01,297.01,44879900
2026-06-18,298.11,300.57,295.62,298.01,298.01,85962200
2026-06-17,300.85,302.07,294.36,295.95,295.95,42745100
2026-06-16,295.25,300.48,293.97,299.24,299.24,39874400
2026-06-15,294.12,297.78,291.70,296.42,296.42,45732600
2026-06-12,296.03,297.14,289.62,291.13,291.13,38742100
2026-06-11,293.72,297.00,289.59,295.63,295.63,42572500
2026-06-10,290.74,294.75,287.38,291.58,291.58,52793300
2026-06-09,300.28,300.75,287.78,290.55,290.55,70108800
2026-06-08,308.74,317.40,301.17,301.54,301.54,77949100
2026-06-05,312.86,315.17,307.15,307.34,307.34,65310500
2026-06-04,313.23,313.54,309.65,311.23,311.23,44869100
2026-06-03,314.18,316.94,308.85,310.26,310.26,50836700
2026-06-02,307.46,315.45,306.69,315.20,315.20,44534700
2026-06-01,309.63,310.94,305.02,306.31,306.31,48849900
2026-05-29,311.78,315.00,309.53,312.06,312.06,70026800
2026-05-28,310.68,312.80,309.57,312.51,312.51,48220400
2026-05-27,308.33,313.26,308.30,310.85,310.85,50430900
2026-05-26,309.56,311.82,307.67,308.33,308.33,48000500
2026-05-22,306.12,311.40,305.84,308.82,308.82,43670200
2026-05-21,301.06,305.54,300.40,304.99,304.99,42965100
2026-05-20,298.18,302.80,298.08,302.25,302.25,38229800
2026-05-19,296.97,300.51,296.35,298.97,298.97,42243600
2026-05-18,300.24,300.66,294.91,297.84,297.84,34483000
2026-05-15,297.90,303.20,296.52,300.23,300.23,54862800
2026-05-14,299.82,300.45,295.38,298.21,298.21,35324900
2026-05-13,293.50,300.92,293.50,298.87,298.87,52684300
2026-05-12,292.56,295.27,292.56,294.80,294.80,45748100
2026-05-11,291.98,293.88,290.23,292.68,292.68,42247300
2026-05-08,290.01,294.76,290.00,293.32,293.05,52692800
2026-05-07,289.27,292.13,285.78,287.44,287.18,45224300
2026-05-06,281.92,288.03,281.07,287.51,287.25,58336100
2026-05-05,276.93,284.57,276.50,284.18,283.92,49311700
2026-05-04,279.66,280.63,274.86,276.83,276.58,46668400
2026-05-01,278.86,287.22,278.37,280.14,279.88,79915400
2026-04-30,270.50,276.00,268.14,271.35,271.10,91848200
2026-04-29,267.55,271.04,267.04,270.17,269.92,30047900
2026-04-28,272.34,273.23,268.66,270.71,270.46,40018900
2026-04-27,266.09,268.36,265.07,267.61,267.36,41466800
2026-04-24,272.76,273.06,269.65,271.06,270.81,38157100
2026-04-23,275.05,275.77,271.65,273.43,273.18,33399600
2026-04-22,267.82,273.74,266.87,273.17,272.92,43249200
2026-04-21,271.50,272.80,265.40,266.17,265.93,50209800
2026-04-20,270.33,274.28,270.29,273.05,272.80,36590200
2026-04-17,266.96,272.30,266.72,270.23,269.98,61436200
2026-07-16,330.00,335.50,328.10,334.20,334.20,58000000
