Date,Open,High,Low,Close,AdjClose,Volume
2026-07-15,387.80,398.96,386.40,395.63,395.63,36253700
2026-07-14,382.82,388.19,378.65,384.93,384.93,27863900
2026-07-13,387.75,393.65,384.15,390.99,390.99,28914900
2026-07-10,387.80,391.91,381.50,385.10,385.10,24644600
2026-07-09,374.45,384.65,373.35,384.36,384.36,31083200
2026-07-08,384.03,385.31,381.33,383.34,383.34,25908300
2026-07-07,392.49,395.57,388.22,388.84,388.84,29297500
2026-07-06,387.04,389.15,381.22,386.74,386.74,34224500
2026-07-02,384.48,392.20,383.70,390.49,390.49,42128900
2026-07-01,380.83,388.83,374.89,384.28,384.28,48065800
2026-06-30,371.03,374.15,367.45,373.02,373.02,44945700
2026-06-29,377.50,380.50,359.90,368.57,368.57,51229900
2026-06-26,357.15,376.61,355.43,372.97,372.97,186201600
2026-06-25,362.77,364.23,349.20,352.83,352.83,66179000
2026-06-24,371.57,378.88,364.78,365.46,365.46,44509900
2026-06-23,372.38,377.22,370.67,373.94,373.94,40647600
2026-06-22,375.74,381.63,367.07,367.34,367.34,45171100
2026-06-18,377.82,381.37,373.28,379.40,379.40,59714200
2026-06-17,390.25,390.37,377.32,378.91,378.91,41987800
2026-06-16,395.79,396.84,390.69,393.83,393.83,31506800
2026-06-15,396.80,401.75,392.85,399.76,399.76,32266400
2026-06-12,391.43,391.74,382.27,390.74,390.74,34865800
2026-06-11,395.21,396.85,384.00,390.34,390.34,47224100
2026-06-10,398.55,405.04,397.16,397.36,397.36,32576000
2026-06-09,409.03,411.98,398.48,403.41,403.41,35317300
2026-06-08,414.14,417.16,408.56,411.74,411.74,32086700
2026-06-05,428.34,429.47,414.40,416.67,416.67,34782200
2026-06-04,435.81,436.15,426.41,428.05,428.05,26899500
2026-06-03,438.45,440.39,424.25,427.34,427.34,39037000
2026-06-02,446.88,453.50,440.43,441.31,441.31,37036800
2026-06-01,464.84,466.32,458.27,460.52,460.52,53628900
2026-05-29,432.55,450.33,432.36,450.24,450.24,79654400
2026-05-28,412.98,429.49,412.67,426.99,426.99,47250500
2026-05-27,411.01,415.94,409.58,412.67,412.67,28901500
2026-05-26,416.43,419.77,413.02,416.03,416.03,30398000
2026-05-22,419.54,424.40,416.33,418.57,418.57,22390300
2026-05-21,424.75,426.34,415.71,419.09,419.09,31393500
2026-05-20,414.17,422.10,411.30,421.06,420.15,27864000
2026-05-19,429.90,432.70,416.49,417.42,416.52,33018700
2026-05-18,416.62,425.12,415.61,423.54,422.62,32564100
2026-05-15,414.27,428.17,412.91,421.92,421.01,50771200
2026-05-14,404.48,411.84,400.88,409.43,408.55,27077500
2026-05-13,403.20,406.31,401.03,405.21,404.33,29667100
2026-05-12,414.48,415.50,406.64,407.77,406.89,38594200
2026-05-11,407.87,412.69,405.50,412.66,411.77,35657900
2026-05-08,417.39,418.63,414.00,415.12,414.22,33383800
2026-05-07,420.11,427.98,418.76,420.77,419.86,34942400
2026-05-06,408.00,418.42,405.11,413.96,413.07,30285900
2026-05-05,415.32,416.78,408.80,411.38,410.49,25700900
2026-05-04,411.54,420.78,410.80,413.62,412.73,28066500
2026-05-01,412.80,417.11,410.44,414.44,413.54,31372400
2026-04-30,410.81,414.42,398.01,407.78,406.90,70909400
2026-04-29,424.58,426.82,420.29,424.46,423.54,38288300
2026-04-28,424.57,429.92,421.90,429.25,428.32,30438100
2026-04-27,422.38,427.11,417.07,424.82,423.90,30867300
2026-04-24,416.97,424.95,415.80,424.62,423.70,27457400
2026-04-23,419.89,423.66,411.41,415.75,414.85,38308000
2026-04-22,426.19,433.70,423.67,432.92,431.98,29378200
2026-04-21,420.24,427.18,417.20,424.16,423.24,32048500
2026-04-20,421.15,423.33,416.30,418.07,417.17,27582200
2026-04-17,424.82,431.58,420.69,422.79,421.88,48568200
